id,type,date,time
86924,1,2024-07-22,20:01:00
116,1,2024-07-22,20:01:00
86765,1,2024-07-22,20:01:00
112,1,2024-07-22,20:01:00
85458,0,2024-07-23,05:23:00
112,0,2024-07-23,05:36:00
113,0,2024-07-23,05:37:00
115,0,2024-07-23,05:43:00
114,0,2024-07-23,05:45:00
86766,0,2024-07-23,05:47:00
111,0,2024-07-23,05:48:00
3,0,2024-07-23,05:48:00
116,0,2024-07-23,05:52:00
86924,0,2024-07-23,05:52:00
86765,0,2024-07-23,05:52:00
87099,0,2024-07-23,05:53:00
86769,0,2024-07-23,05:53:00
86763,0,2024-07-23,05:53:00
86767,0,2024-07-23,05:55:00
86768,0,2024-07-23,05:55:00
117,0,2024-07-23,05:55:00
86763,1,2024-07-23,18:00:00
86769,1,2024-07-23,18:00:00
3,1,2024-07-23,18:00:00
111,1,2024-07-23,18:00:00
113,1,2024-07-23,18:00:00
114,1,2024-07-23,18:00:00
115,1,2024-07-23,18:00:00
86766,1,2024-07-23,18:00:00
116,1,2024-07-23,18:01:00
86768,1,2024-07-23,18:01:00
86767,1,2024-07-23,18:01:00
117,1,2024-07-23,18:01:00
86765,1,2024-07-23,18:01:00
112,1,2024-07-23,18:01:00
87099,1,2024-07-23,18:02:00
86924,1,2024-07-23,18:04:00
86763,0,2024-07-24,05:36:00
86764,0,2024-07-24,05:36:00
114,0,2024-07-24,05:42:00
115,0,2024-07-24,05:47:00
3,0,2024-07-24,05:47:00
86924,0,2024-07-24,05:48:00
113,0,2024-07-24,05:49:00
111,0,2024-07-24,05:50:00
116,0,2024-07-24,05:52:00
86766,0,2024-07-24,05:52:00
87099,0,2024-07-24,05:55:00
86765,0,2024-07-24,05:55:00
117,0,2024-07-24,05:55:00
86767,0,2024-07-24,05:58:00
86768,0,2024-07-24,05:58:00
86924,1,2024-07-24,18:01:00
117,1,2024-07-24,18:03:00
86763,1,2024-07-24,20:00:00
86764,1,2024-07-24,20:00:00
115,1,2024-07-24,20:00:00
111,1,2024-07-24,20:00:00
113,1,2024-07-24,20:00:00
86767,1,2024-07-24,20:00:00
116,1,2024-07-24,20:00:00
86765,1,2024-07-24,20:00:00
86768,1,2024-07-24,20:00:00
87099,1,2024-07-24,20:00:00
3,1,2024-07-24,20:00:00
114,1,2024-07-24,20:01:00
86766,1,2024-07-24,20:01:00
112,0,2024-07-25,05:39:00
3,0,2024-07-25,05:40:00
114,0,2024-07-25,05:42:00
86766,0,2024-07-25,05:46:00
111,0,2024-07-25,05:48:00
113,0,2024-07-25,05:48:00
86763,0,2024-07-25,05:50:00
116,0,2024-07-25,05:50:00
86764,0,2024-07-25,05:51:00
86765,0,2024-07-25,05:52:00
86924,0,2024-07-25,05:52:00
87099,0,2024-07-25,05:52:00
86769,0,2024-07-25,05:52:00
115,0,2024-07-25,05:55:00
117,0,2024-07-25,05:55:00
86767,0,2024-07-25,05:57:00
86767,0,2024-07-25,05:58:00
86768,0,2024-07-25,05:58:00
116,1,2024-07-25,18:00:00
115,1,2024-07-25,18:00:00
113,1,2024-07-25,18:01:00
111,1,2024-07-25,18:01:00
112,1,2024-07-25,18:01:00
86768,1,2024-07-25,18:01:00
86767,1,2024-07-25,18:01:00
86766,1,2024-07-25,18:01:00
117,1,2024-07-25,18:02:00
86769,1,2024-07-25,18:02:00
114,0,2024-07-25,18:02:00
3,1,2024-07-25,18:03:00
86763,1,2024-07-25,18:03:00
86764,1,2024-07-25,18:04:00
87099,1,2024-07-25,18:04:00
86924,1,2024-07-25,18:04:00
86765,1,2024-07-25,18:05:00
112,0,2024-07-26,05:36:00
114,0,2024-07-26,05:44:00
3,0,2024-07-26,05:44:00
113,0,2024-07-26,05:48:00
111,0,2024-07-26,05:49:00
86766,0,2024-07-26,05:49:00
86763,0,2024-07-26,05:51:00
86764,0,2024-07-26,05:51:00
86765,0,2024-07-26,05:52:00
87099,0,2024-07-26,05:52:00
117,0,2024-07-26,05:53:00
86924,0,2024-07-26,05:53:00
116,0,2024-07-26,05:53:00
115,0,2024-07-26,05:54:00
86769,0,2024-07-26,05:54:00
86767,0,2024-07-26,05:58:00
3,1,2024-07-26,14:30:00
115,1,2024-07-26,14:33:00
113,1,2024-07-26,18:00:00
86763,1,2024-07-26,18:00:00
114,1,2024-07-26,18:00:00
111,1,2024-07-26,18:00:00
86769,1,2024-07-26,18:00:00
86924,1,2024-07-26,18:01:00
116,1,2024-07-26,18:01:00
86764,1,2024-07-26,18:01:00
112,1,2024-07-26,18:01:00
87099,1,2024-07-26,18:01:00
86767,1,2024-07-26,18:01:00
86765,1,2024-07-26,18:01:00
86766,1,2024-07-26,18:02:00
117,1,2024-07-26,18:09:00
113,0,2024-07-27,05:31:00
115,0,2024-07-27,05:34:00
3,0,2024-07-27,05:34:00
112,0,2024-07-27,05:37:00
86924,0,2024-07-27,05:38:00
114,0,2024-07-27,05:45:00
111,0,2024-07-27,05:47:00
86766,0,2024-07-27,05:49:00
87099,0,2024-07-27,05:50:00
86765,0,2024-07-27,05:51:00
116,0,2024-07-27,05:54:00
117,0,2024-07-27,05:54:00
86763,0,2024-07-27,05:56:00
86764,0,2024-07-27,05:56:00
86767,0,2024-07-27,05:56:00
86768,0,2024-07-27,05:56:00
86769,0,2024-07-27,05:56:00
86763,1,2024-07-27,18:00:00
86769,1,2024-07-27,18:00:00
115,1,2024-07-27,18:00:00
116,1,2024-07-27,18:00:00
111,1,2024-07-27,18:00:00
3,1,2024-07-27,18:00:00
113,1,2024-07-27,18:00:00
114,1,2024-07-27,18:00:00
86768,1,2024-07-27,18:00:00
112,1,2024-07-27,18:00:00
86767,1,2024-07-27,18:00:00
86764,1,2024-07-27,18:01:00
86766,1,2024-07-27,18:01:00
87099,1,2024-07-27,18:01:00
86924,1,2024-07-27,18:01:00
86765,1,2024-07-27,18:01:00
117,1,2024-07-27,18:06:00
85458,0,2024-07-29,05:30:00
86763,0,2024-07-29,05:36:00
86764,0,2024-07-29,05:36:00
114,0,2024-07-29,05:45:00
112,0,2024-07-29,05:45:00
3,0,2024-07-29,05:49:00
113,0,2024-07-29,05:49:00
115,0,2024-07-29,05:49:00
86924,0,2024-07-29,05:50:00
86765,0,2024-07-29,05:53:00
116,0,2024-07-29,05:53:00
86766,0,2024-07-29,05:54:00
111,0,2024-07-29,05:55:00
87099,0,2024-07-29,05:56:00
117,0,2024-07-29,05:58:00
86768,0,2024-07-29,06:03:00
86767,0,2024-07-29,06:03:00
3,1,2024-07-29,18:00:00
86763,1,2024-07-29,18:00:00
111,1,2024-07-29,18:00:00
115,1,2024-07-29,18:00:00
113,1,2024-07-29,18:00:00
114,1,2024-07-29,18:00:00
116,1,2024-07-29,18:01:00
86765,1,2024-07-29,18:01:00
86768,1,2024-07-29,18:01:00
86767,1,2024-07-29,18:01:00
86924,1,2024-07-29,18:01:00
86764,1,2024-07-29,18:01:00
87099,1,2024-07-29,18:01:00
112,1,2024-07-29,18:01:00
86766,1,2024-07-29,18:03:00
117,1,2024-07-29,18:12:00
113,0,2024-07-30,05:34:00
115,0,2024-07-30,05:36:00
112,0,2024-07-30,05:43:00
86924,0,2024-07-30,05:43:00
3,0,2024-07-30,05:47:00
87099,0,2024-07-30,05:49:00
86766,0,2024-07-30,05:49:00
116,0,2024-07-30,05:50:00
111,0,2024-07-30,05:50:00
114,0,2024-07-30,05:50:00
86765,0,2024-07-30,05:51:00
86764,0,2024-07-30,05:52:00
86763,0,2024-07-30,05:52:00
86768,0,2024-07-30,05:55:00
86767,0,2024-07-30,05:55:00
117,0,2024-07-30,05:56:00
112,1,2024-07-30,14:31:00
117,1,2024-07-30,18:03:00
86763,1,2024-07-30,20:00:00
86764,1,2024-07-30,20:00:00
115,1,2024-07-30,20:00:00
116,1,2024-07-30,20:00:00
113,1,2024-07-30,20:00:00
111,1,2024-07-30,20:00:00
