id,date_time,type
20,17/07/2024 11:02,0
20,17/07/2024 11:02,1
1,18/07/2024 9:38,0
20,18/07/2024 9:39,0
85458,18/07/2024 9:42,0
85458,18/07/2024 9:42,1
86765,18/07/2024 9:43,0
86765,18/07/2024 9:43,1
86769,18/07/2024 9:43,0
86769,18/07/2024 9:43,1
86769,18/07/2024 9:43,1
86765,18/07/2024 9:46,0
86765,18/07/2024 9:46,1
86768,18/07/2024 9:47,1
86768,18/07/2024 9:47,1
86924,18/07/2024 9:47,0
86924,18/07/2024 9:47,1
86766,18/07/2024 9:48,0
86766,18/07/2024 9:48,1
86766,18/07/2024 9:48,0
86766,18/07/2024 9:48,1
3,18/07/2024 9:54,1
86767,18/07/2024 9:55,1
86767,18/07/2024 9:55,1
86763,18/07/2024 9:55,0
86763,18/07/2024 9:55,0
86763,18/07/2024 9:55,1
86763,18/07/2024 9:56,1
86764,18/07/2024 9:56,0
86764,18/07/2024 9:56,0
87099,18/07/2024 9:56,0
87099,18/07/2024 9:56,1
20,18/07/2024 10:08,1
111,18/07/2024 12:20,0
111,18/07/2024 12:20,1
112,18/07/2024 12:25,0
112,18/07/2024 12:25,1
20,18/07/2024 12:25,1
20,18/07/2024 12:26,1
20,18/07/2024 12:26,1
20,18/07/2024 12:26,1
113,18/07/2024 12:31,0
113,18/07/2024 12:31,0
113,18/07/2024 12:31,1
113,18/07/2024 12:31,1
114,18/07/2024 12:33,0
114,18/07/2024 12:33,1
114,18/07/2024 12:33,1
114,18/07/2024 12:33,1
115,18/07/2024 12:34,0
115,18/07/2024 12:35,0
115,18/07/2024 12:35,0
115,18/07/2024 12:35,1
115,18/07/2024 12:35,1
116,18/07/2024 12:37,0
116,18/07/2024 12:37,0
116,18/07/2024 12:37,1
116,18/07/2024 12:37,1
117,18/07/2024 12:39,0
117,18/07/2024 12:39,0
117,18/07/2024 12:39,1
117,18/07/2024 12:39,1
118,18/07/2024 12:44,1
115,18/07/2024 18:00,1
86763,18/07/2024 18:00,1
113,18/07/2024 18:00,1
111,18/07/2024 18:00,1
112,18/07/2024 18:00,1
112,18/07/2024 18:00,1
86768,18/07/2024 18:00,1
86768,18/07/2024 18:00,1
114,18/07/2024 18:00,1
86924,18/07/2024 18:01,1
86767,18/07/2024 18:01,1
86769,18/07/2024 18:01,1
86769,18/07/2024 18:01,1
86764,18/07/2024 18:01,1
87099,18/07/2024 18:01,1
3,18/07/2024 18:01,1
86766,18/07/2024 18:01,1
116,18/07/2024 18:01,1
117,18/07/2024 18:02,1
86765,18/07/2024 18:02,1
114,19/07/2024 5:40,0
112,19/07/2024 5:42,0
111,19/07/2024 5:42,0
86766,19/07/2024 5:45,0
87099,19/07/2024 5:48,0
87099,19/07/2024 5:48,0
86924,19/07/2024 5:48,0
113,19/07/2024 5:48,0
117,19/07/2024 5:51,0
3,19/07/2024 5:51,0
116,19/07/2024 5:52,0
86767,19/07/2024 5:53,0
86768,19/07/2024 5:53,0
86769,19/07/2024 5:53,0
86763,19/07/2024 5:53,0
86764,19/07/2024 5:53,0
115,19/07/2024 5:53,0
86765,19/07/2024 5:53,0
115,19/07/2024 14:30,1
3,19/07/2024 18:00,1
111,19/07/2024 18:00,1
113,19/07/2024 18:00,1
86765,19/07/2024 18:00,1
86765,19/07/2024 18:00,1
86765,19/07/2024 18:00,1
86765,19/07/2024 18:00,1
87099,19/07/2024 18:01,1
87099,19/07/2024 18:01,1
87099,19/07/2024 18:01,1
86924,19/07/2024 18:01,1
86763,19/07/2024 18:01,1
114,19/07/2024 18:01,1
86764,19/07/2024 18:01,1
86768,19/07/2024 18:01,1
86769,19/07/2024 18:01,1
86769,19/07/2024 18:01,1
117,19/07/2024 18:02,1
86767,19/07/2024 18:02,1
86766,19/07/2024 18:02,1
86766,19/07/2024 18:02,1
112,19/07/2024 18:03,1
116,19/07/2024 18:04,1
112,20/07/2024 5:28,0
112,20/07/2024 5:28,0
111,20/07/2024 5:33,0
115,20/07/2024 5:35,0
114,20/07/2024 5:41,0
86766,20/07/2024 5:44,0
86766,20/07/2024 5:44,0
113,20/07/2024 5:47,0
117,20/07/2024 5:47,0
3,20/07/2024 5:48,0
87099,20/07/2024 5:50,0
87099,20/07/2024 5:50,0
116,20/07/2024 5:50,0
86924,20/07/2024 5:50,0
86765,20/07/2024 5:53,0
86765,20/07/2024 5:53,0
86764,20/07/2024 5:54,0
86763,20/07/2024 5:54,0
86767,20/07/2024 5:54,0
86768,20/07/2024 5:54,0
86764,20/07/2024 14:30,1
3,20/07/2024 18:00,1
111,20/07/2024 18:00,1
115,20/07/2024 18:00,1
86763,20/07/2024 18:00,1
113,20/07/2024 18:00,1
116,20/07/2024 18:00,1
114,20/07/2024 18:01,1
86924,20/07/2024 18:01,1
86768,20/07/2024 18:01,1
86767,20/07/2024 18:01,1
87099,20/07/2024 18:01,1
87099,20/07/2024 18:01,1
86765,20/07/2024 18:01,1
